구분명,측정일,수위비율
강남,2020-06-01,0.12
강남,2020-06-02,0.14
강남,2020-06-03,0.125
강남,2020-06-04,0.156
강남,2020-06-05,0.128
강남,2020-06-06,0.125
강남,2020-06-07,0.12
강남,2020-06-08,0.13
강남,2020-06-09,0.125
강남,2020-06-10,0.155
강남,2020-06-11,0.192
강남,2020-06-12,0.125
강남,2020-06-13,0.156
강남,2020-06-14,0.125
강남,2020-06-15,0.125
강남,2020-06-16,0.135
강남,2020-06-17,0.144
강남,2020-06-18,0.125
강남,2020-06-19,0.125
강남,2020-06-22,0.13
강남,2020-06-23,0.125
강남,2020-06-24,0.6
강남,2020-06-25,1.0
강남,2020-06-26,1.0
강남,2020-06-27,1.0
강남,2020-06-28,1.0
강남,2020-06-29,1.0
강남,2020-06-30,1.7499999999999998
강남,2020-07-01,1.0
강남,2020-07-02,1.0
강남,2020-07-03,1.7499999999999998
강남,2020-07-04,0.6124999999999999
강남,2020-07-05,1.0
강남,2020-07-06,1.0
강남,2020-07-07,1.0
강남,2020-07-08,6.45
강남,2020-07-09,1.7499999999999998
강남,2020-07-10,1.0
강남,2020-07-11,1.0
강남,2020-07-12,1.0
강남,2020-07-13,1.0
강남,2020-07-14,0.6375
강남,2020-07-15,1.0
강남,2020-07-16,1.0
강남,2020-07-17,1.0
강남,2020-07-18,1.0
강남,2020-07-19,1.7499999999999998
강남,2020-07-20,1.0
강남,2020-07-21,1.0
강남,2020-07-22,1.7499999999999998
강남,2020-07-23,1.0
강남,2020-07-24,1.0
강남,2020-07-25,1.0
강남,2020-07-26,1.7499999999999998
강남,2020-07-27,1.0
강남,2020-07-28,1.7499999999999998
강남,2020-07-29,1.7499999999999998
강남,2020-07-30,1.0
강남,2020-07-31,1.0
강남,2020-08-01,1.7499999999999998
강남,2020-08-02,1.7499999999999998
강남,2020-08-03,1.7499999999999998
강남,2020-08-04,1.0
강남,2020-08-05,1.7499999999999998
강남,2020-08-06,1.0
강남,2020-08-07,1.0
강남,2020-08-08,1.7499999999999998
강남,2020-08-09,1.0
강남,2020-08-10,0.975
강남,2020-08-11,1.7499999999999998
강남,2020-08-12,0.65
강남,2020-08-13,0.8
강남,2020-08-14,1.7499999999999998
강남,2020-08-15,1.7499999999999998
강남,2020-08-16,1.0
강남,2020-08-17,0.6124999999999999
강남,2020-08-18,1.7499999999999998
강남,2020-08-19,1.0
강남,2020-08-20,1.0
강남,2020-08-21,6.552173913043479
강남,2020-08-22,6.552173913043479
강남,2020-08-23,6.543478260869566
강남,2020-08-24,6.547826086956523
강남,2020-08-25,1.7499999999999998
강남,2020-08-26,1.0
강남,2020-08-27,1.7499999999999998
강남,2020-08-28,1.7499999999999998
강남,2020-08-29,1.7499999999999998
강남,2020-08-30,1.0
강남,2020-08-31,1.0
강동,2020-06-01,0.1675
강동,2020-06-02,0.17
강동,2020-06-03,0.1675
강동,2020-06-04,0.17
강동,2020-06-05,0.1675
강동,2020-06-06,0.1725
강동,2020-06-07,0.1725
강동,2020-06-08,0.27
강동,2020-06-09,0.27
강동,2020-06-10,0.28
강동,2020-06-11,0.2675
강동,2020-06-12,0.1975
강동,2020-06-13,0.18
강동,2020-06-14,0.1725
강동,2020-06-15,0.1875
강동,2020-06-16,0.175
강동,2020-06-17,0.275
강동,2020-06-18,0.215
강동,2020-06-19,0.1875
강동,2020-06-20,0.2
강동,2020-06-21,0.1975
강동,2020-06-22,0.2025
강동,2020-06-23,0.2025
강동,2020-06-24,0.2875
강동,2020-06-25,0.27
강동,2020-06-26,0.2
강동,2020-06-27,0.205
강동,2020-06-28,0.21
강동,2020-06-29,0.2925
강동,2020-06-30,0.3175
강동,2020-07-01,0.2575
강동,2020-07-02,0.235
강동,2020-07-03,0.2125
강동,2020-07-04,0.2075
강동,2020-07-05,0.22
강동,2020-07-06,0.21
강동,2020-07-07,0.25
강동,2020-07-08,0.205
강동,2020-07-09,0.265
강동,2020-07-10,0.225
강동,2020-07-11,0.26
강동,2020-07-12,0.2325
강동,2020-07-13,0.3
강동,2020-07-14,0.3025
강동,2020-07-15,0.2475
강동,2020-07-16,0.23
강동,2020-07-17,0.2025
강동,2020-07-18,0.21
강동,2020-07-19,0.395
강동,2020-07-20,0.285
강동,2020-07-21,0.2125
강동,2020-07-22,0.365
강동,2020-07-23,0.34
강동,2020-07-24,0.29
강동,2020-07-25,0.2675
강동,2020-07-26,0.2475
강동,2020-07-27,0.2275
강동,2020-07-28,0.21
강동,2020-07-29,0.405
강동,2020-07-30,0.2725
강동,2020-07-31,0.2125
강동,2020-08-01,0.38
강동,2020-08-02,0.35
강동,2020-08-03,0.4575
강동,2020-08-04,0.645
강동,2020-08-05,0.71
강동,2020-08-06,0.875
강동,2020-08-07,0.67
강동,2020-08-08,0.335
강동,2020-08-09,0.47
강동,2020-08-10,0.42
강동,2020-08-11,0.4225
강동,2020-08-12,0.2875
강동,2020-08-13,0.2775
강동,2020-08-14,0.25
강동,2020-08-15,0.46
강동,2020-08-16,0.2775
강동,2020-08-17,0.2625
강동,2020-08-18,0.2625
강동,2020-08-19,0.2575
강동,2020-08-20,0.2125
강동,2020-08-21,0.3
강동,2020-08-22,0.71
강동,2020-08-23,0.29
강동,2020-08-24,0.2875
강동,2020-08-25,0.32
강동,2020-08-26,0.3
강동,2020-08-27,0.2925
강동,2020-08-28,0.2775
강동,2020-08-29,0.345
강동,2020-08-30,0.52
강동,2020-08-31,0.275
강북,2020-06-01,0.08
강북,2020-06-02,0.09999999999999999
강북,2020-06-03,0.08
강북,2020-06-04,0.08
강북,2020-06-05,0.08
강북,2020-06-06,0.08
강북,2020-06-07,0.08
강북,2020-06-08,0.08
강북,2020-06-09,0.08
강북,2020-06-10,0.08
강북,2020-06-11,0.07333333333333333
강북,2020-06-12,0.08
강북,2020-06-13,0.08
강북,2020-06-14,0.08
강북,2020-06-15,0.08
강북,2020-06-16,0.08
강북,2020-06-17,0.08
강북,2020-06-18,0.08
강북,2020-06-19,0.08
강북,2020-06-20,0.08
강북,2020-06-21,0.08
강북,2020-06-22,0.08
강북,2020-06-23,0.08
강북,2020-06-24,0.19333333333333333
강북,2020-06-25,0.13999999999999999
강북,2020-06-26,0.09333333333333334
강북,2020-06-27,0.08
강북,2020-06-28,0.08
강북,2020-06-29,0.13999999999999999
강북,2020-06-30,0.2333333333333333
강북,2020-07-01,0.08
강북,2020-07-02,0.08
강북,2020-07-03,0.08
강북,2020-07-04,0.08
강북,2020-07-05,0.08
강북,2020-07-06,0.08
강북,2020-07-07,0.08
강북,2020-07-08,0.08
강북,2020-07-09,0.08
강북,2020-07-10,0.12666666666666668
강북,2020-07-11,0.08
강북,2020-07-12,0.08666666666666667
강북,2020-07-13,0.26
강북,2020-07-14,0.14666666666666667
강북,2020-07-15,0.08
강북,2020-07-16,0.08
강북,2020-07-17,0.08
강북,2020-07-18,0.08
강북,2020-07-19,0.41333333333333333
강북,2020-07-20,0.18000000000000002
강북,2020-07-21,0.08
강북,2020-07-22,0.14666666666666667
강북,2020-07-23,0.37999999999999995
강북,2020-07-24,0.10666666666666667
강북,2020-07-25,0.08
강북,2020-07-26,0.08
강북,2020-07-27,0.08
강북,2020-07-28,0.08
강북,2020-07-29,0.47333333333333333
강북,2020-07-30,0.08
강북,2020-07-31,0.18666666666666668
강북,2020-08-01,0.37999999999999995
강북,2020-08-02,0.5466666666666666
강북,2020-08-03,0.5133333333333333
강북,2020-08-04,0.15333333333333335
강북,2020-08-05,0.3
강북,2020-08-06,0.39999999999999997
강북,2020-08-07,0.08666666666666667
강북,2020-08-08,0.22666666666666668
강북,2020-08-09,0.37333333333333335
강북,2020-08-10,0.48666666666666664
강북,2020-08-11,0.36000000000000004
강북,2020-08-12,0.08666666666666667
강북,2020-08-13,0.08666666666666667
강북,2020-08-14,0.08666666666666667
강북,2020-08-15,0.84
강북,2020-08-16,0.08666666666666667
강북,2020-08-17,0.08666666666666667
강북,2020-08-18,0.08666666666666667
강북,2020-08-19,0.08666666666666667
강북,2020-08-20,0.08
강북,2020-08-21,0.5133333333333333
강북,2020-08-22,0.86
강북,2020-08-23,0.08666666666666667
강북,2020-08-24,0.08
강북,2020-08-25,0.08
강북,2020-08-26,0.08
강북,2020-08-27,0.11333333333333334
강북,2020-08-28,0.18000000000000002
강북,2020-08-29,0.36000000000000004
강북,2020-08-30,0.34
강북,2020-08-31,0.08666666666666667
강서,2020-06-01,0.36
강서,2020-06-02,0.36
강서,2020-06-03,0.36
강서,2020-06-04,0.36
강서,2020-06-05,0.36
강서,2020-06-06,0.36
강서,2020-06-07,0.36
강서,2020-06-08,0.36
강서,2020-06-09,0.36
강서,2020-06-10,0.36
강서,2020-06-11,0.36
강서,2020-06-12,0.36
강서,2020-06-13,0.36
강서,2020-06-14,0.36
강서,2020-06-15,0.36
강서,2020-06-16,0.36
강서,2020-06-17,0.36
강서,2020-06-18,0.36
강서,2020-06-19,0.36
강서,2020-06-20,0.36
강서,2020-06-21,0.36
강서,2020-06-22,0.36
강서,2020-06-23,0.36
강서,2020-06-24,0.36
강서,2020-06-25,0.36
강서,2020-06-26,0.36
강서,2020-06-27,0.5599999999999999
강서,2020-06-28,0.36
강서,2020-06-29,0.7000000000000001
강서,2020-06-30,0.42500000000000004
강서,2020-07-01,0.6466666666666666
강서,2020-07-02,0.6266666666666666
강서,2020-07-03,0.6933333333333334
강서,2020-07-04,0.36
강서,2020-07-05,0.36
강서,2020-07-06,0.36
강서,2020-07-07,0.36
강서,2020-07-08,0.36
강서,2020-07-09,0.36
강서,2020-07-10,0.36
강서,2020-07-11,0.6733333333333333
강서,2020-07-12,0.36
강서,2020-07-13,0.48333333333333334
강서,2020-07-14,0.36
강서,2020-07-15,0.6866666666666666
강서,2020-07-16,0.6666666666666666
강서,2020-07-17,0.68
강서,2020-07-18,0.38
강서,2020-07-19,0.9
강서,2020-07-20,0.39
강서,2020-07-21,0.385
강서,2020-07-22,0.465
강서,2020-07-23,0.66
강서,2020-07-24,0.41
강서,2020-07-25,0.41
강서,2020-07-26,0.405
